[14:51:58][jominiapplication.cpp:250]: Changing game speed to: 2

[20:36:02][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 1

[20:36:16][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[20:36:59][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 0

[20:37:18][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[20:39:59][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[20:40:35][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[20:41:33][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: -1

[20:41:38][jominiapplication.cpp:250]: Pause Toggled! Paused: false, PlayerID: 0

[20:43:08][jominiapplication.cpp:250]: Pause Toggled! Paused: true, PlayerID: 1

